Microarray_ID	Gene_name	Locus	5 min_b1t1	5 min_b1t2	5 min_b2t1	5 min_b2t2	15 min_b1t1	15 min_b1t2	15 min_b2t1	15 min_b2t2	30 min_b1t1	30 min_b2t1	60 min_b1t1	60 min_b1t2	60 min_b2t1	60 min_b2t2	Probe position	Description	Function	AUC
A_07_P020229	lsrB	b1516	0.38	0.44	0.31	0.13	0.18	0.15	0.05		0.11	0.01	0.13	0.10	0.01	0.06	chr:1604036-1604095	AI2 transporter	putative LACI-type transcriptional regulator [b1516]	NaN
A_07_P020231	lsrF	b1517	0.58	0.93	0.41	0.40	0.29	0.47	0.12	0.19	0.25	0.34	0.57	0.44	0.02	0.04	chr:1604939-1604998	putative autoinducer-2 (AI-2) aldolase	"orf, hypothetical protein [b1517]"	-116.431
A_07_P020239	lsrG	b1518	0.62	0.44	0.39	0.40	0.21	0.20	0.14	0.14	0.16	0.10	0.32	0.21	0.12	0.09	chr:1605168-1605227	autoinducer-2 (AI-2) modifying protein LsrG	"orf, hypothetical protein [b1518]"	-143.202
A_07_P020245	tam	b1519	0.24	0.35	0.18	0.16	0.15	0.15	0.17	0.16	0.19	0.15	0.21	0.22	0.10	0.10	chr:1605675-1605734	trans-aconitate methyltransferase	putative enzyme [b1519]	-143.472
A_07_P020250	yneE	b1520	6.80	3.59	12.02	7.60	10.45	5.92	14.82	9.84	8.80	9.33	7.83	3.93	10.03	5.58	chr:1606213-1606154	conserved inner membrane protein	"orf, hypothetical protein [b1520]"	166.818
A_07_P020252	uxaB	b1521	0.55	0.28		1.46		0.01						0.18			chr:1607743-1607684	"altronate oxidoreductase, NAD-dependent"	altronate oxidoreductase [b1521]	NaN
A_07_P020256	yneF	b1522	1.40	1.26	1.59	1.52	1.54	1.62	1.97	2.35	2.27	3.27	1.31	1.24	3.35	3.31	chr:1609044-1608985	predicted diguanylate cyclase	"orf, hypothetical protein [b1522]"	61.815
A_07_P020262	yneG	b1523	2.04	2.15	1.81	2.98	4.06	4.04	4.23	5.64	2.82	4.76	2.09	2.58	1.89	2.52	chr:1610059-1610000	conserved protein	"orf, hypothetical protein [b1523]"	92.389
A_07_P020270	yneH	b1524	1.24	1.74	1.59	2.43	2.57	2.60	2.51	3.18	1.64	3.04	1.43	2.38	2.23	3.28	chr:1610735-1610676	predicted glutaminase	putative glutaminase [b1524]	65.208
A_07_P020272	sad	b1525	0.88	1.47	1.29	2.05	1.27	1.63	1.81	2.27	1.23	2.03	0.91	1.38	1.23	1.61	chr:1611426-1611367	predicted aldehyde dehydrogenase	putative aldehyde dehydrogenase [b1525]	31.663
A_07_P020279	yneJ	b1526	1.06	0.76	1.07	0.78	1.66	0.96	1.35	0.67	1.09	0.71	1.08	0.86	0.70	0.49	chr:1613221-1613280	predicted DNA-binding transcriptional regulator	putative transcriptional regulator LYSR-type [b1526]	-9.325
A_07_P020282	yneK	b1527	2.24	1.36	2.78	2.42	2.37	1.94	4.83	2.90	1.59	1.92	2.42	1.80	1.16	0.62	chr:1614778-1614837	predicted protein	"orf, hypothetical protein [b1527]"	48.565
A_07_P020286	ydeA	b1528	28.36	25.78	40.51	35.20	32.41	30.79	39.78	37.97	23.90	64.85	14.52	14.98	14.27	15.28	chr:1615241-1615300	predicted arabinose transporter	putative resistance / regulatory protein [b1528]	266.605
A_07_P020291	marC	b1529	1.17	1.37	1.02	1.09	1.12	1.29	1.28	1.09	1.02	1.14	1.18	1.47	1.15	1.19	chr:1616341-1616282	conserved protein	"orf, hypothetical protein [b1529]"	11.362
A_07_P020299	marR	b1530	3.91	2.96	3.81	2.74	3.56	3.44	3.94	3.13	4.08	2.52	2.63	2.06	2.46	1.69	chr:1617510-1617569	DNA-binding transcriptional repressor of multiple antibiotic resistance	multiple antibiotic resistance protein; repressor of mar operon [b1530]	85.966
A_07_P020303	marA	b1531	2.81	2.12	4.04	3.00	3.83	3.73	4.56	3.90	3.62	3.08	2.45	1.96	2.32	1.91	chr:1617873-1617932	DNA-binding transcriptional dual activator of multiple antibiotic resistance	multiple antibiotic resistance; transcriptional activator of defense systems [b1531]	88.394
A_07_P020307	marB	b1532	3.08	4.11	3.98	4.61	2.18	2.53	3.64	3.05	4.98	3.04	1.81	2.30	3.33	3.10	chr:1618136-1618195	predicted protein	multiple antibiotic resistance protein [b1532]	92.838
A_07_P020314	eamA	b1533	0.52	0.54	0.58	0.59	0.71	0.56	0.59	0.64	0.61	0.90	0.68	0.71	0.88	0.97	chr:1618542-1618483	cysteine and O-acetyl-L-serine efflux system	"orf, hypothetical protein [b1533]"	-27.174
A_07_P020316	ydeE	b1534	0.64	1.09	0.83	1.22	0.46	0.85	0.58	1.55	0.75	2.03	0.44	0.90	1.22	2.01	chr:1620276-1620335	predicted transporter	putative transport protein [b1534]	1.180
A_07_P020322	ydeH	b1535	1.79	1.33	1.75	1.17	2.42	1.78	2.31	1.33	1.87	1.29	1.47	1.13	2.50	1.73	chr:1621045-1620986	conserved protein	"orf, hypothetical protein [b1535]"	39.478
A_07_P020327	ydeI	b1536	0.32	0.33	0.74	0.37	0.30	0.38	0.25	0.32	0.26	0.11	1.15	0.45	0.13	0.21	chr:1622302-1622243	conserved protein	"orf, hypothetical protein [b1536]"	-108.534
A_07_P020333	ydeJ	b1537	0.47	0.40	0.55	0.44	0.22	0.32	0.55	0.27	0.37	0.32	0.56	0.53	1.12	0.83	chr:1622842-1622901	conserved protein	"orf, hypothetical protein [b1537]"	-67.819
A_07_P020340	dcp	b1538	0.56	0.50	0.67	0.69	0.59	0.50	0.65	0.78	0.59	0.76	0.57	0.50	0.51	0.53	chr:1623573-1623514	dipeptidyl carboxypeptidase II	dipeptidyl carboxypeptidase II [b1538]	-38.839
A_07_P020342	ydfG	b1539	0.59	0.77	0.60	1.08	0.67	0.60	0.43	0.63	0.38	0.65	0.79	1.05	0.67	1.23	chr:1626119-1626178	"L-allo-threonine dehydrogenase, NAD(P)-binding"	putative oxidoreductase [b1539]	-36.906
A_07_P020348	ydfH	b1540	2.64	2.01	2.37	2.41	3.64	2.92	2.73	2.61	3.06	1.78	3.01	2.50	0.95	0.86	chr:1626877-1626936	predicted DNA-binding transcriptional regulator	"orf, hypothetical protein [b1540]"	62.973
A_07_P020351	ydfZ	b1541	1.23	1.01	1.21	0.97	1.43	1.31	1.52	1.32	2.01	1.67	3.08	2.40	1.32	1.09	chr:1627369-1627428	conserved protein	"orf, hypothetical protein [b1541]"	39.104
A_07_P020360	ydfI	b1542	1.30	1.25	1.15	0.96	1.08	1.26	1.35	1.17	1.44	1.72	1.38	1.37	2.59	2.44	chr:1627571-1627512	predicted mannonate dehydrogenase	putative oxidoreductase [b1542]	32.630
A_07_P020361		b1543	0.68	0.85	0.33	0.62	0.43	0.41	0.62	0.49	0.47	0.20	0.49	0.52		0.73	chr:1629212-1629153	ANNOTATION DISCONTINUED	ANNOTATION DISCONTINUED [b1543]	NaN
A_07_P020376	ydfN	b1547	2.22	2.06			1.70	1.28					1.56	1.38			chr:1633206-1633147	Qin prophage; predicted side tail fibre assembly protein	"orf, hypothetical protein [b1547]"	NaN
A_07_P020388	ydfO	b1549	1.30	3.49	1.41	1.15	2.76	1.45	1.67		2.27	0.01	4.88	4.00	1.50	2.28	chr:1635323-1635382	Qin prophage; predicted protein	"orf, hypothetical protein [b1549]"	NaN
A_07_P020394	gnsB	b1550	1.38	1.07	1.51	1.08	0.90	0.80	1.31	0.72	1.33	1.28	2.62	1.29	3.36	2.55	chr:1635708-1635649	Qin prophage; predicted protein	"orf, hypothetical protein [b1550]"	26.596
A_07_P020398	ynfN	b1551	0.82	1.36									1.42	1.70	0.01		chr:1636071-1636012	Qin prophage; predicted protein	"orf, hypothetical protein [b1551]"	NaN
A_07_P020403	cspI	b1552	1.02	0.77	1.37	1.05	0.38	0.27	0.62	0.47	0.69	0.61	1.23	1.04	2.34	1.95	chr:1636617-1636558	Qin prophage; cold shock protein	cold shock-like protein [b1552]	-20.045
A_07_P020406	ydfP	b1553	1.86	1.21	2.53	1.62	2.25	2.01	3.85	1.63	2.35	2.07	1.99	1.52	2.91	1.91	chr:1637138-1637079	Qin prophage; conserved protein	"orf, hypothetical protein [b1553]"	60.024
A_07_P020412	arrQ	b1554	1.26	1.14		1.27	0.67	1.20			0.67		0.92	1.39		1.17	chr:1637806-1637747	Qin prophage; predicted lysozyme	putative lysozyme [b1554]	NaN
A_07_P020418	ydfR	b1555	1.15	0.87	1.39	1.16	0.85	0.61			1.29		2.42	1.68	3.01	1.66	chr:1638148-1638089	Qin prophage; predicted protein	"orf, hypothetical protein [b1555]"	NaN
A_07_P020424	essQ	b1556	1.29	1.67	1.36	1.02	1.68	1.90	1.53	2.51	4.56	3.47	3.66	4.87	6.54	8.06	chr:1638611-1638552	Qin prophage; predicted S lysis protein	"orf, hypothetical protein [b1556]"	95.094
A_07_P020429	cspB	b1557	1.09	1.05	0.96	0.85	0.61	0.68	1.57	1.49	1.36	3.29	1.26	1.73	7.30	7.31	chr:1639424-1639365	Qin prophage; cold shock protein	cold shock protein; may affect transcription [b1557]	49.819
A_07_P020435	cspF	b1558	4.15	2.52	4.21	2.52	5.42	4.25	7.19	5.16	5.74	3.86	3.74	2.13	6.49	3.67	chr:1639887-1639946	Qin prophage; cold shock protein	cold shock protein [b1558]	117.567
A_07_P020436	quuQ	b1559	1.42	1.06	1.09	0.93	1.00	0.88	1.27	1.09	1.38	1.21	1.77	1.31	1.67	1.34	chr:1640626-1640567	Qin prophage; predicted antitermination protein Q	"orf, hypothetical protein [b1559]"	18.857
A_07_P020445	ydfU	b1560	1.37	0.89	1.46	0.77	1.70	1.59	1.54	0.62		0.51	1.59	0.70		0.39	chr:1641374-1641315	Qin prophage; predicted protein	"orf, hypothetical protein [b1560]"	NaN
A_07_P020446	rem	b1561	0.99	0.76	1.46	1.12	1.42	1.23	2.29	1.89	1.48	1.92	1.49	1.06	2.20	1.66	chr:1642841-1642782	Qin prophage; predicted protein	"orf, hypothetical protein [b1561]"	36.003
A_07_P020454	hokD	b1562	0.62	0.91	0.66	0.86	0.84	0.94	0.75	0.81	0.87	0.83	0.50	0.74	0.81	1.08	chr:1643297-1643238	Qin prophage; small toxic polypeptide	polypeptide destructive to membrane potential [b1562]	-16.777
A_07_P020458	relE	b1563	1.44	1.00	1.32	1.11	1.85	1.23	1.65	1.30	2.18	1.04	1.06	0.69	0.94	0.69	chr:1643467-1643408	Qin prophage; toxin of the RelE-RelB toxin-antitoxin system	"orf, hypothetical protein [b1563]"	17.766
A_07_P020464	relB	b1564	1.03	0.89	1.51	1.03	1.11	0.88	1.42	1.05	1.05	0.80	0.87	0.73	0.76	0.58	chr:1643742-1643683	Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor	negative regulator of translation [b1564]	-7.352
A_07_P020466	ydfV	b1565	0.35	0.36	0.01	0.11	0.34	0.60	0.49		0.45		0.31	0.36	0.47	0.46	chr:1644145-1644204	Qin prophage; predicted protein	"orf, hypothetical protein [b1565]"	NaN
A_07_P020474	flxA	b1566	1.26	0.97	1.22	0.64	1.17	1.28	1.11	0.57	1.39	1.08	1.02	0.81	0.61	0.47	chr:1644681-1644740	Qin prophage; predicted protein	"orf, hypothetical protein [b1566]"	-1.620
A_07_P020476	ydfW	b1567	0.45	1.14	1.48	2.02	1.29	1.70	1.35	2.18	0.34	1.21	0.91	0.86		1.97	chr:1645261-1645202	Qin prophage; predicted protein	"orf, hypothetical protein [b1567]"	NaN
A_07_P020485	ydfX	b1568	1.42	1.00	1.58	1.19	2.83	2.14	2.86	1.79	2.34	1.72	1.50	1.23	1.71	1.12	chr:1645470-1645411	Qin prophage; predicted protein	"orf, hypothetical protein [b1568]"	46.622
A_07_P020486	dicC	b1569	1.23	1.53			0.71				2.20		0.92	1.09			chr:1645848-1645789	Qin prophage; DNA-binding transcriptional regulator for DicB	regulator of dicB [b1569]	NaN
A_07_P020491	dicA	b1570	1.46	1.05	1.58	1.07	1.37	1.12	1.32	1.11	1.28	0.92	1.70	1.26	1.32	0.95	chr:1646123-1646182	Qin prophage; predicted regulator for DicB	regulator of dicB [b1570]	13.441
A_07_P020500	ydfA	b1571	1.25	1.44	1.27	1.31	1.38	1.03	1.54	1.73	1.49	1.17	1.29	1.23	1.75	1.99	chr:1646616-1646675	Qin prophage; predicted protein	"orf, hypothetical protein [b1571]"	26.170
A_07_P020501	ydfB	b1572	1.22	1.62	1.66								2.27	1.11			chr:1646686-1646745	Qin prophage; predicted protein	"orf, hypothetical protein [b1572]"	NaN
A_07_P020510	rzpQ	b1573	1.52	1.39	1.43	1.95	0.98	1.18	1.33	1.49	1.61		1.28	1.52	2.21	2.00	chr:1647000-1647059	pseudo	"orf, hypothetical protein [b1573]"	NaN
A_07_P020513	dicB	b1575	1.35	1.04	0.01	0.53	0.94	0.42	0.81		0.75		0.90	0.70	1.18	0.82	chr:1647758-1647817	Qin prophage; cell division inhibition protein	inhibition of cell division [b1575]	NaN
A_07_P020520	ydfD	b1576	1.13	1.15	0.61	0.86	0.76	1.11	0.23		1.13		0.65	0.84	1.82	1.18	chr:1647945-1648004	Qin prophage; predicted protein	"orf, hypothetical protein [b1576]"	NaN
A_07_P020523	ydfE	b1577	2.20	2.07	1.73	1.05	1.39				1.86		2.38	1.65			chr:1648546-1648605	pseudo	"orf, hypothetical protein [b1577]"	NaN
A_07_P020527	intQ	b1579	1.05	1.05	1.27	1.11			1.04				1.72	2.13	1.13	0.71	chr:1650673-1650732	pseudo	putative transposase [b1579]	NaN
A_07_P020532	rspB	b1580		0.48									0.68	0.41			chr:1651182-1651123	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"	starvation sensing protein [b1580]	NaN
A_07_P020538	rspA	b1581	1.39	0.97	1.22	1.06	2.04	2.76	2.48	2.10	1.92	2.41	1.49	1.09	1.27	1.01	chr:1652052-1651993	predicted dehydratase	starvation sensing protein [b1581]	45.132
A_07_P020544	ynfA	b1582	1.48	1.01	2.01	1.23	1.47	0.95	2.44	2.09	1.43	1.97	1.68	0.99	2.71	1.70	chr:1653678-1653619	conserved inner membrane protein	"orf, hypothetical protein [b1582]"	39.086
A_07_P020550	ynfB	b1583	1.72	1.25	1.58	1.09	2.97	2.80	1.43	1.16	1.68	0.82	2.27	1.82	0.27	0.18	chr:1654025-1654084	predicted protein	"orf, hypothetical protein [b1583]"	10.941
A_07_P020551	speG	b1584	1.80	1.52	2.21	1.70	2.23	2.10	2.50	2.18	2.26	2.03	1.83	1.47	2.10	1.85	chr:1654328-1654387	spermidine N1-acetyltransferase	spermidine N1-acetyltransferase [b1584]	56.251
A_07_P020559	ynfC	b1585	1.01	1.02	0.80	0.98	0.85	0.81	0.94	0.94	1.00	0.84	0.87	0.84	1.74	1.93	chr:1654848-1654789	predicted protein	"orf, hypothetical protein [b1585]"	-0.571
A_07_P020563	ynfD	b1586	0.50	0.41	0.49	0.38	1.28	0.86	0.44	0.38	0.28	0.36	0.55	0.42	0.24	0.18	chr:1655698-1655757	predicted protein	"orf, hypothetical protein [b1586]"	-76.169
A_07_P020568	ynfE	b1587															chr:1658159-1658218	oxidoreductase subunit	"putative oxidoreductase, major subunit [b1587]"	NaN
A_07_P020575	ynfF	b1588	1.45	1.20		1.01	0.86						1.21	1.38		0.91	chr:1660783-1660842	oxidoreductase subunit	"putative oxidoreductase, major subunit [b1588]"	NaN
A_07_P020576	ynfG	b1589	0.81	0.76		1.57	1.02		0.84		1.27		1.69	1.30			chr:1661085-1661144	"oxidoreductase, Fe-S subunit"	"putative oxidoreductase, Fe-S subunit [b1589]"	NaN
A_07_P020582	ynfH	b1590	1.51	2.08	1.18	1.81	1.66	1.86	1.43	2.10	1.65	3.19	0.83	1.12	0.64	1.14	chr:1661856-1661915	"oxidoreductase, membrane subunit"	putative DMSO reductase anchor subunit [b1590]	38.323
A_07_P020586	dmsD	b1591	1.43	1.93	1.95	2.47	1.32	1.61	1.70	2.43	1.55	3.01	1.32	2.09	2.73	3.84	chr:1662997-1663056	twin-argninine leader-binding protein for DmsA and TorA	putative oxidoreductase component [b1591]	57.740
A_07_P020591	clcB	b1592	1.91	2.40	1.35	1.80	1.96	2.18	2.12	2.89	2.62	2.81	1.04	1.31	1.84	2.20	chr:1664341-1664400	predicted voltage-gated chloride channel	putative chloride channel [b1592]	60.646
A_07_P020600	ynfK	b1593	0.27	0.24	0.29	0.34	0.40	0.45	0.32	0.45	0.31	0.36	0.65	0.56	0.20	0.21	chr:1665051-1664992	predicted dethiobiotin synthetase	"orf, hypothetical protein [b1593]"	-83.685
A_07_P020605	dgsA/mlc	b1594	0.34	0.39	0.38	0.41	0.38	0.41	0.36	0.37	0.48	0.32	0.54	0.54	0.38	0.34	chr:1665590-1665531	DNA-binding transcriptional repressor	putative NAGC-like transcriptional regulator [b1594]	-72.312
A_07_P020609	ynfL	b1595	1.45	0.72	1.58	1.26	2.50	1.71	2.49	1.85	1.47	1.59	1.58	0.84	1.27	0.88	chr:1667080-1667021	predicted DNA-binding transcriptional regulator	putative transcriptional regulator LYSR-type [b1595]	30.730
A_07_P020611	ynfM	b1596	2.60	2.37	1.89	1.32	3.63	3.33	3.40	1.56	5.00	1.66	1.69	1.72	2.30	1.67	chr:1668637-1668696	predicted transporter	putative transport protein [b1596]	71.066
A_07_P020616	asr	b1597	0.94	0.99	1.42	1.11	1.26	1.18	1.06	0.86		0.54	0.84	0.99	0.29	0.25	chr:1669579-1669638	acid shock-inducible periplasmic protein	acid shock protein [b1597]	NaN
A_07_P020624	ydgD	b1598	0.66	0.76	0.41	0.61	0.65	0.65	0.55	0.73	0.81	0.78	0.70	0.78	0.37	0.42	chr:1670541-1670600	predicted peptidase	"orf, hypothetical protein [b1598]"	-32.684
A_07_P020626	mdtI	b1599	2.68	3.00	0.03	2.22	4.80	4.49	4.05	2.72	7.06	1.94	3.58	3.44	7.69	8.96	chr:1671109-1671050	multidrug efflux system transporter	possible chaperone [b1599]	102.685
A_07_P020634	mdtJ	b1600	2.73	2.16	2.70	1.63	7.33	4.86	5.11	2.98	4.97	4.00	4.04	3.66	3.22	2.01	chr:1671355-1671296	multidrug efflux system transporter	possible chaperone [b1600]	107.431
A_07_P020636	tqsA	b1601	1.35	1.35	1.52	1.49	1.28	1.21	1.56	1.55	1.37	1.88	1.64	1.61	2.53	2.22	chr:1672369-1672428	predicted inner membrane protein	putative transport protein [b1601]	38.481
A_07_P020644	pntB	b1602	1.61	1.18	1.60	1.28	1.29	1.10	1.40	1.11	2.29	1.55	3.55	2.61	3.62	2.85	chr:1673259-1673200	"pyridine nucleotide transhydrogenase, beta subunit"	"pyridine nucleotide transhydrogenase, beta subunit [b1602]"	51.251
A_07_P020648	pntA	b1603	1.00	1.07	1.30	1.62	1.13	1.01	1.10	1.32	1.11	1.60	2.40	2.41	1.20	1.41	chr:1674497-1674438	"pyridine nucleotide transhydrogenase, alpha subunit"	"pyridine nucleotide transhydrogenase, alpha subunit [b1603]"	25.404
A_07_P020654	ydgH	b1604	1.36	0.95	1.19	1.00	0.92	0.88	1.01	0.93	1.00	0.67	1.49	1.06	0.14	0.11	chr:1676957-1677016	predicted protein	"orf, hypothetical protein [b1604]"	-27.050
A_07_P020656	ydgI	b1605	0.87	1.04	1.16	1.23	0.75	0.78	1.23	1.41	0.97	1.15	1.08	1.27	0.86	0.94	chr:1678869-1678928	predicted arginine/ornithine antiporter transporter	putative arginine/ornithine antiporter [b1605]	2.896
A_07_P020665	folM	b1606	0.87	0.58	1.64	1.13	0.76	0.69	1.34	1.13	0.95	0.89	1.92	1.18	0.72	0.39	chr:1679544-1679603	dihydrofolate reductase isozyme	putative oxidoreductase [b1606]	-6.406
A_07_P020668	ydgC	b1607	0.79	0.75	0.81	0.70	0.62	0.47	0.70	0.59	0.96	0.80	1.02	0.97	1.49	1.32	chr:1679869-1679810	conserved inner membrane protein associated with alginate biosynthesis	"orf, hypothetical protein [b1607]"	-12.132
A_07_P020675	rstA	b1608	1.11	1.26	1.31	1.40	0.74	0.62	0.64	0.64	0.53	0.59	1.20	1.50	0.51	0.56	chr:1680823-1680882	DNA-binding response regulator in two-component regulatory system with RstB	response transcriptional regulatory protein [b1608]	-28.381
A_07_P020676	rstB	b1609	1.31	1.02	1.53	1.09	0.95	0.93	0.73	0.73	0.92	0.69	1.85	1.35	0.95	0.63	chr:1681655-1681714	sensory histidine kinase in two-component regulatory system with RstA	sensor histidine protein kinase [b1609]	-7.057
A_07_P020681	tus	b1610	5.21	5.14	3.00	2.52	4.57	4.70	3.79	1.42	4.54	1.57	1.98	2.99	6.57	5.46	chr:1682766-1682825	"inhibitor of replication at Ter, DNA-binding protein"	DNA-binding protein; inhibition of replication at Ter sites [b1610]	91.914
A_07_P020689	fumC	b1611	0.24	0.29	0.30	0.43	0.20	0.22	0.23	0.32	0.17	0.39	0.13	0.15	0.19	0.29	chr:1683445-1683386	"fumarate hydratase (fumarase C),aerobic Class II"	fumarase C= fumarate hydratase Class II; isozyme [b1611]	-115.882
A_07_P020691	fumA	b1612	0.22	0.25	0.15	0.17	0.05	0.05	0.06	0.05	0.08	0.07	0.10	0.11	0.12	0.14	chr:1684815-1684756	"fumarate hydratase (fumarase A), aerobic Class I"	fumarase A = fumarate hydratase Class I; aerobic isozyme [b1612]	-196.517
A_07_P020700	manA	b1613	1.03	0.76	1.24	1.32	1.28	0.95	0.91	0.94	1.13	0.75	2.03	1.61	0.44	0.40	chr:1687546-1687605	mannose-6-phosphate isomerase	mannose-6-phosphate isomerase [b1613]	-5.135
A_07_P020702	ydgA	b1614	0.66	0.36	0.62	0.39	0.54	0.41	0.49	0.38	0.68	0.49	1.02	0.54	1.11	0.63	chr:1689298-1689357	conserved protein	"orf, hypothetical protein [b1614]"	-42.456
A_07_P020709	uidC	b1615	0.88	1.37	0.60	2.24	1.67	4.05	0.95	3.03	0.84	3.49	0.57	0.88	0.72	2.21	chr:1689673-1689614	predicted outer membrane porin protein	membrane-associated protein [b1615]	30.403
A_07_P020715	uidB	b1616						0.01						1.63			chr:1691056-1690997	pseudo	glucuronide permease [b1616]	NaN
A_07_P020716	uidA	b1617	0.96	1.03	1.19	0.92	0.82	1.15	0.84	1.37	0.83		0.72	0.99	0.01	0.49	chr:1692553-1692494	beta-D-glucuronidase	beta-D-glucuronidase [b1617]	NaN
A_07_P020725	uidR	b1618	0.98	0.87	1.04	0.84	1.06	1.10	1.06	0.99	1.50	0.84	1.15	1.05	0.75	0.63	chr:1694837-1694778	DNA-binding transcriptional repressor	repressor for uid operon [b1618]	1.179
A_07_P020729	hdhA	b1619	0.31	0.35	0.34	0.51	0.36	0.33	0.19	0.24	0.17	0.26	0.63	0.67	0.20	0.28	chr:1695470-1695411	"7-alpha-hydroxysteroid dehydrogenase, NAD-dependent"	"NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids [b1619]"	-101.156
A_07_P020735	malI	b1620	0.61	0.85	0.72	0.87	0.38	0.49	0.53	0.60	0.49	0.49	1.02	1.28	0.50	0.57	chr:1696258-1696199	DNA-binding transcriptional repressor	repressor of malX and Y genes [b1620]	-43.289
A_07_P020740	malX	b1621	1.81	1.52	1.31	1.11	1.82	1.65	1.32	1.06	2.62	1.03	2.61	2.05	1.27	1.05	chr:1698883-1698942	fused maltose and glucose-specific PTS enzymes: IIB component -! IIC component	"PTS system, maltose and glucose-specific II ABC [b1621]"	35.721
A_07_P020743	malY	b1622	1.02	0.91	1.04	1.53	0.71	0.59	1.15	1.17	0.92	0.93	1.28	1.16	0.37	0.47	chr:1699958-1700017	"bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon"	"enzyme that may degrade or block biosynthesis of endogenous mal inducer, probably aminotrasferase [b1622]"	-11.556
A_07_P020747	add	b1623	0.65	1.03	1.13	1.68	0.86	1.12	1.58	1.87	0.64	1.23	0.31	0.53	0.15	0.27	chr:1700953-1701012	adenosine deaminase	adenosine deaminase [b1623]	-25.741
A_07_P020751	ydgJ	b1624	1.20	1.31	0.94	1.20	1.16	1.13	0.82	1.06	1.13	1.10	0.77	0.90	1.04	1.24	chr:1701817-1701758	predicted oxidoreductase	"orf, hypothetical protein [b1624]"	4.440
A_07_P020756	cnu	b1625	1.25	1.06	1.74	1.49	1.84	1.68	2.23	1.88	1.09	1.37	2.22	1.65	2.17	1.56	chr:1703039-1703098	predicted regulator	"orf, hypothetical protein [b1625]"	33.919
A_07_P020765	ydgK	b1626	1.55	1.36	1.91	1.32	2.00	1.53	1.73	1.41	1.85	1.13	2.13	1.87	0.85	0.62	chr:1703494-1703553	conserved inner membrane protein	"orf, hypothetical protein [b1626]"	28.109
A_07_P020768	rsxA	b1627	1.55	1.90	1.73	1.84	1.66	1.88	1.87	2.01	1.84	1.84	0.96	1.27	1.75	2.03	chr:1703968-1704027	predicted inner membrane subunit	"orf, hypothetical protein [b1627]"	42.812
A_07_P020774	rsxB	b1628	2.41	2.99	1.87	1.86	2.45	2.87	2.44	2.57	3.46	2.37	1.57	1.96	1.95	2.21	chr:1704699-1704758	predicted iron-sulfur protein	"orf, hypothetical protein [b1628]"	71.064
A_07_P020776	rsxC	b1629	2.38	2.48	1.85	2.02	3.58	3.23	2.59	3.04	2.18	2.60	2.03	1.98	1.95	2.02	chr:1706236-1706295	fused predicted 4Fe-4S ferredoxin-type protein/conserved protein	putative membrane protein [b1629]	69.048
A_07_P020785	rsxD	b1630	1.88	2.03	2.45	2.35	2.29	2.20	3.01	2.94	2.70	2.94	1.52	1.77	2.47	2.70	chr:1708015-1708074	predicted inner membrane oxidoreductase	"orf, hypothetical protein [b1630]"	71.942
A_07_P020789	rsxG	b1631	1.25	2.25	2.12	3.70	1.64	2.79	2.93	4.11	1.93	3.74	1.56	2.62	1.86	3.38	chr:1708623-1708682	predicted oxidoreductase	"orf, hypothetical protein [b1631]"	73.309
A_07_P020793	rsxE	b1632	1.72	1.68	3.03	2.87	3.27	3.79	3.21	3.02	3.13	2.61	2.49	2.63	1.29	1.19	chr:1709429-1709488	predicted inner membrane NADH-quinone reductase	"orf, hypothetical protein [b1632]"	73.963
A_07_P020799	nth	b1633	3.28	3.16	4.53	4.15	3.27	3.09	3.06	5.13	4.06	7.22	4.65	4.11	6.43	5.98	chr:1710114-1710173	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)	endonuclease III; specific for apurinic and/or apyrimidinic sites [b1633]	122.865
A_07_P020801	tppB	b1634	2.09	2.01	1.33	1.64	2.15	1.58	2.17	3.17	2.56	2.39	1.72	1.65	2.59	2.60	chr:1711611-1711670	predicted transporter	putative transport protein [b1634]	63.550
A_07_P020808	gst	b1635	0.70	0.68	0.83	0.73	0.82	0.82	0.95	1.00	0.93	0.88	0.73	0.68	0.48	0.43	chr:1712492-1712551	glutathionine S-transferase	glutathionine S-transferase [b1635]	-19.807
A_07_P020811	pdxY	b1636	1.33	1.34	1.43	1.59	1.52	1.79	1.90	2.09	1.55	2.26	1.48	1.63	2.20	2.52	chr:1713493-1713434	pyridoxal kinase 2/pyridoxine kinase	pyridoxal kinase 2 / pyridoxine kinase [b1636]	47.554
A_07_P020819	tyrS	b1637	1.16	1.08	1.14	1.32	1.33	1.20	1.32	1.48	1.42	1.51	1.54	1.30	1.21	1.34	chr:1714035-1713976	tyrosyl-tRNA synthetase	tyrosine tRNA synthetase [b1637]	25.022
A_07_P020821	pdxH	b1638	1.49	1.00	1.54	1.48	2.87	1.90	2.24	1.77	1.76	1.11	2.03	1.70	0.34	0.29	chr:1715702-1715643	pyridoxine 5'-phosphate oxidase	pyridoxinephosphate oxidase [b1638]	21.240
